Batch,M_Trans,W_PH,W_ECppm500,A_CO2ppm,A_RH,L_r,M_Accum
127,-1.73068581088335,6.0,764.285714285714,465.4,69.0,70.2631578947368,-0.0086356709985582
128,-1.73068581088335,6.0,764.285714285714,465.4,69.0,112.961538461538,-0.0086356709985582
129,-1.7633279980391,5.4,757.142857142857,469.0,69.4,0.0,-0.0760302920926317
130,-1.7633279980391,5.4,757.142857142857,469.0,69.4,18.3765182186235,-0.0760302920926317
131,-1.7633279980391,5.4,757.142857142857,469.0,69.4,36.2125506072875,-0.0760302920926317
132,-1.7633279980391,5.4,764.285714285714,469.0,69.4,0.0,-0.0760302920926317
133,-1.7633279980391,5.4,764.285714285714,469.0,69.4,18.3765182186235,-0.0760302920926317
134,-1.7633279980391,5.4,764.285714285714,469.0,69.4,36.2125506072875,-0.0760302920926317
135,-1.7633279980391,5.5,757.142857142857,469.0,69.4,0.0,-0.0760302920926317
136,-1.7633279980391,5.5,757.142857142857,469.0,69.4,18.3765182186235,-0.0760302920926317
137,-1.7633279980391,5.5,757.142857142857,469.0,69.4,36.2125506072875,-0.0760302920926317
138,-1.7633279980391,5.5,764.285714285714,469.0,69.4,0.0,-0.0760302920926317
139,-1.7633279980391,5.5,764.285714285714,469.0,69.4,18.3765182186235,-0.0760302920926317
140,-1.7633279980391,5.5,764.285714285714,469.0,69.4,36.2125506072875,-0.0760302920926317
141,-1.7633279980391,5.6,757.142857142857,469.0,69.4,0.0,-0.0760302920926317
142,-1.7633279980391,5.6,757.142857142857,469.0,69.4,18.3765182186235,-0.0760302920926317
143,-1.7633279980391,5.6,757.142857142857,469.0,69.4,36.2125506072875,-0.0760302920926317
144,-1.79597018519486,5.4,757.142857142857,468.8,68.4,0.0,-0.0830707626507724
145,-1.79597018519486,5.4,764.285714285714,468.8,68.4,0.0,-0.0830707626507724
146,-1.79597018519486,5.5,757.142857142857,468.8,68.4,0.0,-0.0830707626507724
147,-1.79597018519486,5.5,764.285714285714,468.8,68.4,0.0,-0.0830707626507724
148,-1.79597018519486,5.6,757.142857142857,468.8,68.4,0.0,-0.0830707626507724
149,-1.79597018519486,5.9,757.142857142857,468.8,68.4,0.0,-0.0830707626507724
150,-1.79597018519486,6.0,757.142857142857,468.8,68.4,0.0,-0.0830707626507724
151,-1.79597018519486,6.0,764.285714285714,468.8,68.4,0.0,-0.0830707626507724
152,-1.79597018519486,6.0,771.428571428571,468.8,68.4,0.0,-0.0830707626507724
153,-1.82861237235061,5.9,757.142857142857,471.0,67.6,0.0,-0.0901078464804332
154,-1.82861237235061,6.0,757.142857142857,471.0,67.6,0.0,-0.0901078464804332
155,-1.82861237235061,6.0,764.285714285714,471.0,67.6,0.0,-0.0901078464804332
156,-1.82861237235061,6.1,757.142857142857,471.0,67.6,0.0,-0.0901078464804332
157,-1.8124815435795,5.9,757.142857142857,471.8,67.0,0.0,-0.0971449303100941
158,-1.8124815435795,5.9,764.285714285714,471.8,67.0,0.0,-0.0971449303100941
159,-1.8124815435795,6.0,757.142857142857,471.8,67.0,0.0,-0.0971449303100941
160,-1.8124815435795,6.0,764.285714285714,471.8,67.0,0.0,-0.0971449303100941
161,-1.8124815435795,6.0,771.428571428571,471.8,67.0,0.0,-0.0971449303100941
162,-1.8124815435795,6.1,757.142857142857,471.8,67.0,0.0,-0.0971449303100941
163,-1.8124815435795,6.1,764.285714285714,471.8,67.0,0.0,-0.0971449303100941
164,-1.79635025417,5.6,757.142857142857,468.8,66.0,0.0,-0.104182014139755
165,-1.79635025417,5.7,757.142857142857,468.8,66.0,0.0,-0.104182014139755
166,-1.79635025417,5.7,764.285714285714,468.8,66.0,0.0,-0.104182014139755
167,-1.79635025417,5.8,757.142857142857,468.8,66.0,0.0,-0.104182014139755
168,-1.79635025417,5.9,757.142857142857,468.8,66.0,0.0,-0.104182014139755
169,-1.79635025417,5.9,764.285714285714,468.8,66.0,0.0,-0.104182014139755
170,-1.79635025417,6.0,757.142857142857,468.8,66.0,0.0,-0.104182014139755
171,-1.78021896476051,5.3,757.142857142857,471.0,65.0,0.0,-0.111219097969416
172,-1.78021896476051,5.3,764.285714285714,471.0,65.0,0.0,-0.111219097969416
173,-1.78021896476051,5.4,757.142857142857,471.0,65.0,0.0,-0.111219097969416
174,-1.78021896476051,5.4,764.285714285714,471.0,65.0,0.0,-0.111219097969416
175,-1.78021896476051,5.5,757.142857142857,471.0,65.0,0.0,-0.111219097969416
176,-1.78021896476051,5.6,757.142857142857,471.0,65.0,0.0,-0.111219097969416
177,-1.78021896476051,5.6,764.285714285714,471.0,65.0,0.0,-0.111219097969416
178,-1.78021896476051,5.9,764.285714285714,471.0,65.0,0.0,-0.111219097969416
179,-1.78021896476051,6.0,757.142857142857,471.0,65.0,0.0,-0.111219097969416
180,-1.78021896476051,6.0,764.285714285714,471.0,65.0,0.0,-0.111219097969416
181,-1.78021896476051,6.0,771.428571428571,471.0,65.0,0.0,-0.111219097969416
182,-1.78021896476051,6.1,757.142857142857,471.0,65.0,0.0,-0.111219097969416
183,-1.78021896476051,6.1,764.285714285714,471.0,65.0,0.0,-0.111219097969416
184,-1.78021896476051,6.1,771.428571428571,471.0,65.0,0.0,-0.111219097969416
185,-1.76408767535101,5.7,757.142857142857,470.0,63.0,0.0,-0.118256181799077
186,-1.76408767535101,5.7,764.285714285714,470.0,63.0,0.0,-0.118256181799077
187,-1.76408767535101,5.8,757.142857142857,470.0,63.0,0.0,-0.118256181799077
188,-1.76408767535101,5.8,764.285714285714,470.0,63.0,0.0,-0.118256181799077
