Time,M_Accum,M_Hode,M_Trans,W_PH,W_TEMPC,W_ECppm500,A_CO2ppm,A_TEMPC,A_RH,L_r,L_b,L_w
06-Oct-2022 07:00:00,1.06967826650662,8.05870145411154,-1.28545842936629,6.5,0,757.142857142857,558.2,16.1111111111111,71,70.2631578947368,15.1336032388664,23.2408906882591
06-Oct-2022 07:00:00,1.06967826650662,8.05870145411154,-1.28545842936629,6.5,0,764.285714285714,558.2,16.1111111111111,71,18.3765182186235,1.62145748987854,3.24291497975709
06-Oct-2022 07:00:00,1.06967826650662,8.05870145411154,-1.28545842936629,6.5,0,764.285714285714,558.2,16.1111111111111,71,70.2631578947368,15.1336032388664,23.2408906882591
06-Oct-2022 08:00:00,1.00228364541255,7.94601059440468,-1.24711006124508,6.5,0,757.142857142857,544,16.1111111111111,71,112.961538461538,22.7004048582996,34.5910931174089
06-Oct-2022 08:00:00,1.00228364541255,7.94601059440468,-1.24711006124508,6.5,0,764.285714285714,544,16.1111111111111,71,112.961538461538,22.7004048582996,34.5910931174089
06-Oct-2022 08:00:00,1.00228364541255,7.94601059440468,-1.24711006124508,6.5,0,771.428571428571,544,16.1111111111111,71,112.961538461538,22.7004048582996,34.5910931174089
06-Oct-2022 09:00:00,0.934889024318472,7.76366436434768,-1.27873871664546,6.5,0,757.142857142857,519.8,16.1111111111111,71,112.961538461538,22.7004048582996,34.5910931174089
06-Oct-2022 09:00:00,0.934889024318472,7.76366436434768,-1.27873871664546,6.5,0,764.285714285714,519.8,16.1111111111111,71,112.961538461538,22.7004048582996,34.5910931174089
06-Oct-2022 10:00:00,0.867494403224399,7.58131329677624,-1.31037223189886,6.4,0,757.142857142857,512.4,16.1111111111111,71.2,112.961538461538,22.7004048582996,34.5910931174089
06-Oct-2022 10:00:00,0.867494403224399,7.58131329677624,-1.31037223189886,6.5,0,757.142857142857,512.4,16.1111111111111,71.2,112.961538461538,22.7004048582996,34.5910931174089
06-Oct-2022 10:00:00,0.867494403224399,7.58131329677624,-1.31037223189886,6.5,0,764.285714285714,512.4,16.1111111111111,71.2,112.961538461538,22.7004048582996,34.5910931174089
06-Oct-2022 11:00:00,0.800099782130325,7.39896222920481,-1.34200574715225,6.4,0,757.142857142857,500.4,16.1111111111111,71,112.961538461538,22.7004048582996,34.5910931174089
06-Oct-2022 11:00:00,0.800099782130325,7.39896222920481,-1.34200574715225,6.4,0,764.285714285714,500.4,16.1111111111111,71,112.961538461538,22.7004048582996,34.5910931174089
06-Oct-2022 11:00:00,0.800099782130325,7.39896222920481,-1.34200574715225,6.5,0,757.142857142857,500.4,16.1111111111111,71,112.961538461538,22.7004048582996,34.5910931174089
06-Oct-2022 11:00:00,0.800099782130325,7.39896222920481,-1.34200574715225,6.5,0,764.285714285714,500.4,16.1111111111111,71,112.961538461538,22.7004048582996,34.5910931174089
06-Oct-2022 12:00:00,0.732705161036251,7.21661116163337,-1.37363926240565,5.7,0,757.142857142857,494,16.1111111111111,72,112.961538461538,22.7004048582996,34.5910931174089
06-Oct-2022 12:00:00,0.732705161036251,7.21661116163337,-1.37363926240565,5.7,0,764.285714285714,494,16.1111111111111,72,112.961538461538,22.7004048582996,34.5910931174089
